Place,Type,County,"Planning Region","Per capita income","Median household income","Median family income",Population,"Number of households"
New Canaan,Town,Fairfield,Western CT,"$105,846 ","$174,611 ","$211,875 ","19,738","6,857"
Darien,Town,Fairfield,Western CT,"$105,846 ","$208,848 ","$343,456 ","20,732","6,555"
Greenwich,Town,Fairfield,Western CT,"$90,087 ","$128,153 ","$167,825 ","61,171","22,083"
Weston,Town,Fairfield,Western CT,"$92,794 ","$219,868 ","$285,612 ","10,179","3,379"
Westport,Town,Fairfield,Western CT,"$97,395 ","$181,360 ","$237,353 ","26,391","9,740"
Glastonbury,Town,Hartford,Capitol Region,"$84,200 ","$130,837 ","$192,018 ","34,564","13,121"
Ridgefield,Town,Fairfield,Western CT,"$75,634 ","$163,954 ","$182,820 ","24,638","8,902"
Wilton,Town,Fairfield,Western CT,"$78,131 ","$180,313 ","$205,902 ","18,062","5,953"
Brookfield,Town,Fairfield,Western CT,"$63,411 ","$132,950 ","$172,383 ","17,550","6,584"
Avon,Town,Hartford,Capitol Region,"$89,357 ","$146,153 ","$159,405 ","18,871","7,318"
Redding,Town,Fairfield,Western CT,"$61,043 ","$137,916 ","$152,344 ","9,158","3,528"
Roxbury,Town,Litchfield,Northwest Hills,"$68,446 ","$96,875 ","$112,045 ","2,262",922
Fenwick,Borough,Middlesex,Lower CT River Valley,"$67,318 ","$148,650 ","$217,583 ","2,406","1,077"
Stonington,Borough,New London,Southeastern CT,"$55,429 ","$66,705 ","$88,194 ",929,508
Easton,Town,Fairfield,Greater Bridgeport,"$58,532 ","$131,189 ","$149,884 ","7,490","2,682"
Bridgewater,Town,Litchfield,Western CT,"$66,035 ","$98,424 ","$113,088 ","1,727",753
Essex,Town,Middlesex,Lower CT River Valley,"$53,427 ","$86,376 ","$121,447 ","6,683","2,992"
Lyme,Town,New London,Lower CT River Valley,"$66,822 ","$123,894 ","$162,438 ","18,098","7,024"
Fairfield,Town,Fairfield,Greater Bridgeport,"$60,155 ","$122,306 ","$152,760 ","59,404","20,233"
Tolland,Town,Tolland,Capitol Region,"$45,901 ","$110,593 ","$122,299 ","15,502","5,238"
Old Lyme,Town,New London,Lower CT River Valley,"$46,429 ","$87,025 ","$112,588 ","7,603","3,145"
Madison,Town,New Haven,South Central CT,"$52,413 ","$107,183 ","$136,981 ","18,269","6,779"
Guilford,Town,New Haven,South Central CT,"$65,609 ","$124,793 ","$150,902 ","22,019","8,786"
Washington,Town,Litchfield,Northwest Hills,"$70,264 ","$81,354 ","$89,441 ","3,578","1,466"
Kent,Town,Litchfield,Northwest Hills,"$34,015 ","$60,714 ","$94,271 ","2,979","1,104"
Cornwall,Town,Litchfield,Northwest Hills,"$49,753 ","$75,833 ","$91,458 ","1,420",568
Farmington,Town,Hartford,Capitol Region,"$52,341 ","$91,712 ","$120,026 ","25,340","10,343"
Woodbridge,Town,New Haven,South Central CT,"$58,594 ","$133,412 ","$160,313 ","8,990","3,084"
Warren,Town,Litchfield,Northwest Hills,"$49,142 ","$87,857 ","$94,583 ","1,461",601
Sherman,Town,Fairfield,Western CT,"$63,914 ","$108,398 ","$115,149 ","3,581","1,427"
Salisbury,Town,Litchfield,Northwest Hills,"$53,332 ","$82,794 ","$112,778 ","3,741","1,518"
Bethany,Town,New Haven,South Central CT,"$47,241 ","$113,720 ","$121,701 ","5,563","1,971"
Granby,Town,Hartford,Capitol Region,"$46,687 ","$97,500 ","$111,339 ","11,282","4,194"
Canton,Town,Hartford,Capitol Region,"$46,401 ","$87,643 ","$101,793 ","10,292","4,150"
Killingworth,Town,Middlesex,Lower CT River Valley,"$45,404 ","$99,500 ","$108,232 ","6,525","2,474"
Newtown,Town,Fairfield,Western CT,"$45,308 ","$108,148 ","$120,507 ","27,560","9,459"
Orange,Town,New Haven,South Central CT,"$44,983 ","$102,255 ","$115,685 ","13,956","5,123"
Middlebury,Town,New Haven,Naugatuck Valley,"$44,850 ","$100,866 ","$109,750 ","7,575","2,748"
Stamford,City,Fairfield,Western CT,"$44,667 ","$75,579 ","$88,050 ","122,643","47,357"
Woodbury,Town,Litchfield,Naugatuck Valley,"$44,060 ","$80,595 ","$100,500 ","9,975","4,214"
Trumbull,Town,Fairfield,Greater Bridgeport,"$44,006 ","$102,059 ","$117,855 ","36,018","12,725"
Newtown,Borough,Fairfield,Western CT,"$43,916 ","$106,141 ","$109,821 ","1,941",696
Norfolk,Town,Litchfield,Northwest Hills,"$43,866 ","$85,526 ","$98,098 ","1,709",720
Monroe,Town,Fairfield,Greater Bridgeport,"$43,842 ","$109,727 ","$119,357 ","19,479","6,735"
West Hartford,Town,Hartford,Capitol Region,"$53,534 ","$98,530 ","$136,547 ","63,268","25,258"
Old Saybrook,Town,Middlesex,Lower CT River Valley,"$43,400 ","$79,985 ","$99,595 ","10,242","4,247"
Burlington,Town,Hartford,Northwest Hills,"$43,392 ","$115,341 ","$120,580 ","9,301","3,291"
Sharon,Town,Litchfield,Northwest Hills,"$43,317 ","$70,104 ","$74,313 ","2,782","1,250"
Norwalk,City,Fairfield,Western CT,"$43,303 ","$76,161 ","$93,009 ","85,603","33,217"
Woodmont,Borough,New Haven,South Central CT,"$43,149 ","$71,667 ","$99,423 ","1,488",691
Bolton,Town,Tolland,Capitol Region,"$42,312 ","$89,432 ","$93,472 ","4,980","1,915"
Stonington,Town,New London,Southeastern CT,"$42,184 ","$72,445 ","$86,029 ","18,545","8,115"
